"REF_DATE","GEO","DGUID","Supply and disposition","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-10","Canada","2016A000011124","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638454","1.1.1","16201745.1","","","","1"
"2019-11","Canada","2016A000011124","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638454","1.1.1","17478769.4","","","","1"
"2019-12","Canada","2016A000011124","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638454","1.1.1","18327117.8","","","","1"
"2020-01","Canada","2016A000011124","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638454","1.1.1","17465825.6","","","","1"
"2020-02","Canada","2016A000011124","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638454","1.1.1","15987556.9","","","","1"
"2020-03","Canada","2016A000011124","Gross withdrawals","Cubic metres","Cubic metres","72","thousands","3","v107638454","1.1.1","17140850.4","","","","1"
"2019-10","Canada","2016A000011124","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638456","1.2.1","14302763.9","","","","1"
"2019-11","Canada","2016A000011124","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638456","1.2.1","14567202.0","","","","1"
"2019-12","Canada","2016A000011124","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638456","1.2.1","15156957.1","","","","1"
"2020-01","Canada","2016A000011124","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638456","1.2.1","14570103.4","","","","1"
"2020-02","Canada","2016A000011124","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638456","1.2.1","13903210.1","","","","1"
"2020-03","Canada","2016A000011124","Marketable production","Cubic metres","Cubic metres","72","thousands","3","v107638456","1.2.1","14674543.9","","","","1"
"2019-10","Canada","2016A000011124","Imports","Cubic metres","Cubic metres","72","thousands","3","v107638458","1.3.1","2084163.8","","","","1"
"2019-11","Canada","2016A000011124","Imports","Cubic metres","Cubic metres","72","thousands","3","v107638458","1.3.1","2903378.6","","","","1"
"2019-12","Canada","2016A000011124","Imports","Cubic metres","Cubic metres","72","thousands","3","v107638458","1.3.1","3567028.0","","","","1"
"2020-01","Canada","2016A000011124","Imports","Cubic metres","Cubic metres","72","thousands","3","v107638458","1.3.1","3211430.1","","","","1"
"2020-02","Canada","2016A000011124","Imports","Cubic metres","Cubic metres","72","thousands","3","v107638458","1.3.1","2438343.0","","","","1"
"2020-03","Canada","2016A000011124","Imports","Cubic metres","Cubic metres","72","thousands","3","v107638458","1.3.1","2680400.0","","","","1"
"2019-10","Canada","2016A000011124","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638460","1.4.1","1057247.0","","","","1"
"2019-11","Canada","2016A000011124","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638460","1.4.1","1815878.0","","","","1"
"2019-12","Canada","2016A000011124","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638460","1.4.1","2732206.0","","","","1"
"2020-01","Canada","2016A000011124","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638460","1.4.1","3560521.0","","","","1"
"2020-02","Canada","2016A000011124","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638460","1.4.1","3080592.0","","","","1"
"2020-03","Canada","2016A000011124","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638460","1.4.1","2885370.0","","","","1"
"2019-10","Canada","2016A000011124","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638462","1.5.1","6171825.9","","","","1"
"2019-11","Canada","2016A000011124","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638462","1.5.1","6650512.0","","","","1"
"2019-12","Canada","2016A000011124","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638462","1.5.1","7170650.1","","","","1"
"2020-01","Canada","2016A000011124","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638462","1.5.1","7380899.4","","","","1"
"2020-02","Canada","2016A000011124","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638462","1.5.1","7010982.1","","","","1"
"2020-03","Canada","2016A000011124","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638462","1.5.1","7170438.9","","","","1"
"2019-10","Canada","2016A000011124","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638464","1.6.1","987739.0","","","","1"
"2019-11","Canada","2016A000011124","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638464","1.6.1","1594797.0","","","","1"
"2019-12","Canada","2016A000011124","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638464","1.6.1","2191519.0","","","","1"
"2020-01","Canada","2016A000011124","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638464","1.6.1","2725280.0","","","","1"
"2020-02","Canada","2016A000011124","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638464","1.6.1","2426308.0","","","","1"
"2020-03","Canada","2016A000011124","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638464","1.6.1","2254549.0","","","","1"
"2019-10","Canada","2016A000011124","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638466","1.7.1","5571314.0","","","","1"
"2019-11","Canada","2016A000011124","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638466","1.7.1","6171362.0","","","","1"
"2019-12","Canada","2016A000011124","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638466","1.7.1","6768693.0","","","","1"
"2020-01","Canada","2016A000011124","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638466","1.7.1","6571332.0","","","","1"
"2020-02","Canada","2016A000011124","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638466","1.7.1","6308168.0","","","","1"
"2020-03","Canada","2016A000011124","Exports","Cubic metres","Cubic metres","72","thousands","3","v107638466","1.7.1","5955610.0","","","","1"
"2019-10","Canada","2016A000011124","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107638468","1.8.1","22836063.8","","","","1"
"2019-11","Canada","2016A000011124","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107638468","1.8.1","23663255.9","","","","1"
"2019-12","Canada","2016A000011124","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107638468","1.8.1","22540600.9","","","","1"
"2020-01","Canada","2016A000011124","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107638468","1.8.1","21098207.2","","","","1"
"2020-02","Canada","2016A000011124","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107638468","1.8.1","18158894.0","","","","1"
"2020-03","Canada","2016A000011124","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107638468","1.8.1","15394959.2","","","","1"
"2019-10","Canada","2016A000011124","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638470","1.9.1","23663255.9","","","","1"
"2019-11","Canada","2016A000011124","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638470","1.9.1","22540600.9","","","","1"
"2019-12","Canada","2016A000011124","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638470","1.9.1","21098207.2","","","","1"
"2020-01","Canada","2016A000011124","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638470","1.9.1","18158894.0","","","","1"
"2020-02","Canada","2016A000011124","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638470","1.9.1","15394959.2","","","","1"
"2020-03","Canada","2016A000011124","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107638470","1.9.1","14662484.5","","","","1"
"2019-10","Canada","2016A000011124","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107638472","1.10.1","827192.2","","","","1"
"2019-11","Canada","2016A000011124","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107638472","1.10.1","-1122655.0","","","","1"
"2019-12","Canada","2016A000011124","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107638472","1.10.1","-1442393.7","","","","1"
"2020-01","Canada","2016A000011124","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107638472","1.10.1","-2939313.2","","","","1"
"2020-02","Canada","2016A000011124","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107638472","1.10.1","-2763934.9","","","","1"
"2020-03","Canada","2016A000011124","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107638472","1.10.1","-732474.7","","","","1"


